image_name,annotation,human_sentiment,sentiment
nm0000513_rm3790510848_1950-3-13_2001.jpg,The man is annoyed by something on the camera,Negative,Negative
nm1473013_rm3138554112_1978-3-23_2009.jpg,The woman is trying to save somebody,Positive,Positive
nm1055413_rm4119052032_1977-4-2_2011.jpg,The man is flirting with the woman,Positive,Positive
nm0001813_rm2033429248_1925-12-13_1967.jpg,The man is angry at the woman,Negative,Negative
nm0111013_rm2590225920_1979-12-15_2011.jpg,The man and the woman are having fun dancing,Positive,Positive
nm0226813_rm3274539008_1964-11-24_2007.jpg,The man looks very worried,Negative,Negative
nm1897713_rm3311778048_1984-3-25_2012.jpg,The happy woman is singing,Positive,Positive
nm0000313_rm1969259520_1949-12-4_2010.jpg,The group of people are having fun,Positive,Positive
nm0001513_rm262920960_1947-12-31_2007.jpg,Two men are arguing about something,Negative,Negative
nm1567113_rm3289497344_1977-3-24_2010.jpg,The woman is scared of something,Negative,Negative
nm0277213_rm1910159872_1971-3-27_2009.jpg,The man is flirting with the woman,Positive,Positive
nm1567113_rm2800156416_1977-3-24_2014.jpg,The man is kissing the woman,Positive,Positive
nm0141613_rm1285724416_1976-5-25_2007.jpg,The funny man is telling joke to the woman,Positive,Positive
nm3762213_rm2028925696_1987-4-10_2010.jpg,The annoyed woman is being rude to the other woman,Negative,Negative
nm0330913_rm2596854016_1974-8-14_2010.jpg,The man is flirting with the woman,Positive,Positive
nm0330913_rm1263321600_1974-8-14_2010.jpg,The man is kissing the woman,Positive,Positive
nm3762213_rm2937693184_1987-4-10_2010.jpg,The man is trying to help the woman,Positive,Positive
nm0000213_rm1839184384_1971-10-29_2000.jpg,The scared man is trying to shoot somebody,Negative,Negative
nm3762213_rm3013967872_1987-4-10_2010.jpg,The group of women are shocked by something,Negative,Negative
nm0226813_rm3795170816_1964-11-24_2012.jpg,The man is hugging the other man,Positive,Positive
nm0000513_rm2359075328_1950-3-13_2011.jpg,The man is trying to calm down the boy,Positive,Positive
nm1897713_rm2984155904_1984-3-25_2002.jpg,The man and the woman are having fun,Positive,Positive
nm1473013_rm3121776896_1978-3-23_2009.jpg,The woman is shocked by something,Negative,Negative
nm0000213_rm4259874048_1971-10-29_2011.jpg,The man is flirting with the woman,Positive,Positive
nm0445313_rm3506476800_1961-7-8_2008.jpg,The man and the woman are laughing,Positive,Positive
nm0506613_rm1553173760_1968-7-23_2003.jpg,The man is laughing at something,Positive,Positive
nm0000213_rm3775764480_1971-10-29_1996.jpg,The woman is screaming in pain,Negative,Negative
nm0502813_rm1133091072_1971-11-14_1988.jpg,The man is kissing the woman,Positive,Positive
nm0001513_rm162257664_1947-12-31_2007.jpg,The man is arguing with the other man,Negative,Negative
nm0369513_rm202618880_1975-3-22_2008.jpg,The woman is arguing with the man,Negative,Negative
nm0277213_rm2410195712_1971-3-27_2002.jpg,Two men are laughing at something,Positive,Positive
nm0277213_rm267563264_1971-3-27_2009.jpg,The man and the woman are interrupted by something,Negative,Negative
nm0000213_rm2073270528_1971-10-29_1997.jpg,Two men are trying to shoot somebody,Negative,Negative
nm0277213_rm2672612352_1971-3-27_2009.jpg,The man is looking sad at the woman,Negative,Negative
nm0000513_rm4241660160_1950-3-13_1999.jpg,The group of people are scared of something,Negative,Negative
nm0223213_rm2816264448_1949-4-23_1977.jpg,The man is arguing with the two women,Negative,Negative
nm1442113_rm3878978304_1973-5-27_2010.jpg,The happy man is holding a cat,Positive,Positive
nm2218213_rm1755950336_1979-10-3_2008.jpg,The man is flirting with the woman,Positive,Positive
nm0934113_rm1733603584_1942-3-29_2012.jpg,The angry man is trying to shoot somebody,Negative,Negative
nm3762213_rm3673466880_1987-4-10_2010.jpg,The woman is flirting with the man,Positive,Positive
nm0223213_rm2866596096_1949-4-23_1977.jpg,The woman is arguing with two man,Negative,Negative
nm0330913_rm1020329472_1974-8-14_2010.jpg,The woman is trying to save the injured man,Positive,Positive
nm0277213_rm4031361536_1971-3-27_2009.jpg,The scared man and woman are hiding from something,Negative,Negative
nm0277213_rm3268474880_1971-3-27_2009.jpg,The man is flirting with the woman,Positive,Positive
nm0000113_rm3851126784_1964-7-26_2009.jpg,The happy woman is pleased to see the old lady,Positive,Positive
nm0223213_rm4158441728_1949-4-23_1977.jpg,The man is arguing with two women,Negative,Negative
nm0111013_rm3180503040_1979-12-15_2012.jpg,Two men are happy,Positive,Positive
nm0369513_rm1960687872_1975-3-22_2011.jpg,Two man are trying to shoot somebody,Negative,Negative
nm1645313_rm118280192_1984-10-17_2013.jpg,The man is flirting with the woman,Positive,Positive
nm0000213_rm2469826048_1971-10-29_1988.jpg,The man and the woman are interrupted by somebody,Negative,Negative
nm0598413_rm876530688_1964-8-11_1982.jpg,The man is angry at another man,Negative,Negative
nm1567113_rm3485056000_1977-3-24_2011.jpg,The woman is trying to shoot somebody,Negative,Negative
nm0001513_rm3396046592_1947-12-31_2007.jpg,The man is screaming at the other man,Negative,Negative
nm0490513_rm4180977664_1964-2-16_2012.jpg,The suspicious man is investigating something,Negative,Negative
nm0226813_rm3936059392_1964-11-24_2010.jpg,The man is arguing with the other man,Negative,Negative
nm0000313_rm3136010240_1949-12-4_2010.jpg,Two men are having fun,Positive,Positive
nm0000413_rm2733619200_1964-9-28_2011.jpg,The scared woman is running to somebody,Negative,Negative
nm0000113_rm3723726592_1964-7-26_2010.jpg,The woman is kissing the other woman,Positive,Positive
nm0000113_rm165845248_1964-7-26_2002.jpg,The woman is trying to shoot somebody,Negative,Negative
nm0001813_rm39443712_1925-12-13_1961.jpg,The happy man is having a phone call,Positive,Positive
nm0000313_rm2806225152_1949-12-4_1996.jpg,The man is arguing with the other man,Negative,Negative
nm4237013_rm3733307136_1985-0-0_2003.jpg,The man is flirting with the woman,Positive,Positive
nm0000113_rm3941830400_1964-7-26_2010.jpg,Two women are laughing at something,Positive,Positive
nm0000313_rm1167497472_1949-12-4_2001.jpg,The man is arguing with the woman,Negative,Negative
nm0781913_rm3668551936_1983-10-5_2012.jpg,Two men are arguing,Negative,Negative
nm3614913_rm2605766656_1994-11-10_2014.jpg,The woman is looking suspiciously at the man,Negative,Negative
nm4237013_rm707311872_1985-0-0_2003.jpg,The man is happy to have a present from the woman,Positive,Positive
nm0285913_rm1601870080_1979-1-15_2003.jpg,The group of people are happy about something,Positive,Positive
nm0000513_rm1672985856_1950-3-13_2001.jpg,The group of people are scared of something,Negative,Negative
nm0000613_rm149062912_1965-1-9_1994.jpg,The woman is interrupted by something,Negative,Negative
nm3762213_rm2862070784_1987-4-10_2010.jpg,The group of women are discussing gossips,Negative,Negative
nm1897713_rm525181440_1984-3-25_2012.jpg,The woman is surprised by something,Positive,Positive
nm0640413_rm1981320704_1963-11-15_1989.jpg,The man is arguing with the woman,Negative,Negative
nm3614913_rm707375360_1994-11-10_2011.jpg,The man and the woman are annoyed by something,Negative,Negative
nm0000613_rm620730624_1965-1-9_1996.jpg,The man and the woman are happy to merry,Positive,Positive
nm0226813_rm900434688_1964-11-24_2009.jpg,The group of angry people are looking for something,Negative,Negative
nm0141613_rm4277441536_1976-5-25_2008.jpg,The man is telling something funny to the woman,Positive,Positive
nm0223213_rm2061289728_1949-4-23_1977.jpg,Two women are having fun,Positive,Positive
nm0851113_rm4071536128_1968-5-12_2005.jpg,The man is looking after the woman,Neutral,Neutral
nm0000113_rm3917846272_1964-7-26_2009.jpg,The woman is warning somebody,Negative,Negative
nm4013413_rm2606422272_1989-7-31_2012.jpg,The man is hugging the other man,Positive,Positive
nm0277213_rm1929086720_1971-3-27_2009.jpg,The woman is trying to shoot the man,Negative,Negative
nm0330913_rm969997824_1974-8-14_2010.jpg,The man is mocking the other man,Negative,Negative
nm0277213_rm1659501056_1971-3-27_2009.jpg,The man is playing with the happy girl,Positive,Positive
nm0223213_rm1994246400_1949-4-23_1977.jpg,The group of people are having fun,Positive,Positive
nm0000113_rm2573064448_1964-7-26_2013.jpg,The man is kissing the annoyed woman,Positive,Positive
nm0277213_rm1673495552_1971-3-27_2009.jpg,The group of people are investigating something,Neutral,Neutral
nm0000113_rm4143025664_1964-7-26_2009.jpg,The group of people are laughing at the man,Positive,Positive
nm0000113_rm3814578432_1964-7-26_2013.jpg,The man is flirting with the woman,Positive,Positive
nm0277213_rm424321024_1971-3-27_2009.jpg,The group of men are investigating something,Neutral,Neutral
nm0000413_rm3057356288_1964-9-28_1996.jpg,The group of people are interrupted by something,Negative,Negative
nm1897713_rm695645184_1984-3-25_2012.jpg,The women are looking scornfully at each other,Neutral,Neutral
nm0000213_rm1855961600_1971-10-29_2000.jpg,The woman is scared of knife,Negative,Negative
nm0277213_rm1386971648_1971-3-27_2009.jpg,The happy girl is hugging the woman,Positive,Positive
nm0277213_rm1707049984_1971-3-27_2009.jpg,The man is hugging the woman,Positive,Positive
nm2301213_rm3183992320_1985-8-20_2005.jpg,The happy man is dancing with the woman,Positive,Positive
nm0000513_rm866889216_1950-3-13_2012.jpg,The man is laughing at something,Positive,Positive
nm0000413_rm3023801856_1964-9-28_1996.jpg,The group of people are laughing at something,Positive,Positive
nm0000313_rm257983488_1949-12-4_2010.jpg,Two happy men are hugging each other,Positive,Positive
nm0490513_rm933547008_1964-2-16_2012.jpg,The serious man is interrogating the other man,Negative,Negative
nm0226813_rm1091614208_1964-11-24_2010.jpg,The man is kidding with the woman,Positive,Positive
nm0364813_rm1280363264_1961-8-24_2014.jpg,Two men are interrupted by something,Negative,Negative
nm1442113_rm1806148096_1973-5-27_2006.jpg,The group of people are shocked by something,Negative,Negative
nm0277213_rm2247727360_1971-3-27_2006.jpg,Two men are arguing,Negative,Negative
nm0440913_rm2050865408_1967-8-3_2000.jpg,The angry man is trying to shoot somebody,Negative,Negative
nm0226813_rm2207691776_1964-11-24_2012.jpg,The man is flirting with the man,Positive,Positive
nm0934113_rm2746601984_1942-3-29_2010.jpg,The man is trying to help somebody,Positive,Positive
nm1442113_rm1789370880_1973-5-27_2006.jpg,The man is shocked by something,Negative,Negative
nm3762213_rm3446845440_1987-4-10_2010.jpg,The group of people is interrupted by something,Negative,Negative
nm0369513_rm2683803904_1975-3-22_2007.jpg,The man is arguing with the other man,Negative,Negative
nm0000113_rm3867904000_1964-7-26_2009.jpg,Two women are laughing at something,Positive,Positive
nm0000213_rm3843788288_1971-10-29_1999.jpg,How women are arguing,Negative,Negative
nm4341913_rm3623598080_1993-10-9_2002.jpg,The group of people are having fun,Positive,Positive
nm0223213_rm3017591040_1949-4-23_1977.jpg,The woman is flirting with the man,Positive,Positive
nm0722413_rm2504895232_1937-12-4_1977.jpg,The man is angry at the other man,Negative,Negative
nm0000113_rm2151396096_1964-7-26_2011.jpg,The man is kissing the woman,Positive,Positive
nm3762213_rm456509952_1987-4-10_2010.jpg,The group of women is shocked by something,Negative,Negative
nm0277213_rm93173504_1971-3-27_2009.jpg,The group of people are interrupted by something,Negative,Negative
nm1166613_rm1344392960_1984-5-20_2014.jpg,The woman is flirting with the man,Positive,Positive
nm0000513_rm1583126784_1950-3-13_2001.jpg,The woman is flirting with the man,Positive,Positive
nm2740213_rm4265782784_1999-5-7_2012.jpg,The man is scared of something,Negative,Negative
nm0253813_rm86087680_1964-11-27_2007.jpg,The woman is annoyed by something,Negative,Negative
nm1166613_rm4170183936_1984-5-20_2014.jpg,The woman is angry at somebody,Negative,Negative
nm1055413_rm2568343808_1977-4-2_2014.jpg,The man is interrupted by something,Negative,Negative
nm0141613_rm1403164928_1976-5-25_2007.jpg,The woman is laughing at the man,Positive,Positive
nm0111013_rm2416678912_1979-12-15_2007.jpg,The worried man is trying to explain something,Negative,Negative
nm0000313_rm2785840896_1949-12-4_2010.jpg,The man is happy after receiving a reward,Positive,Positive
nm3762213_rm3035149824_1987-4-10_2010.jpg,The group of people is laughing,Positive,Positive
nm0000513_rm3114050048_1950-3-13_2011.jpg,The man is hugging the other man,Positive,Positive
nm0000313_rm1568574976_1949-12-4_2009.jpg,The man is flirting with the woman,Positive,Positive
nm0126213_rm1646574080_1984-2-15_1992.jpg,Two kids are having fun,Positive,Positive
nm1168813_rm1278190080_1977-6-25_2010.jpg,The group of people are trying to shoot somebody,Negative,Negative
nm0141613_rm4128418048_1976-5-25_2012.jpg,The happy woman is greeting the other woman,Positive,Positive
nm0277213_rm1521004288_1971-3-27_2009.jpg,The man is arguing with the other man,Negative,Negative
nm0598213_rm3515669248_1949-2-27_2005.jpg,The woman is looks surprised and happy,Positive,Positive
nm0000513_rm4072451328_1950-3-13_2011.jpg,The man is screaming at the other man,Negative,Negative
nm1055413_rm3898784000_1977-4-2_2011.jpg,The group of people are investigating something,Neutral,Neutral
nm0000513_rm1248562432_1950-3-13_2005.jpg,The man is joking with the other man,Positive,Positive
nm0000313_rm3896089088_1949-12-4_2000.jpg,The group of people is having fun,Positive,Positive
nm0226813_rm1169406208_1964-11-24_2010.jpg,The happy man is greeting the woman,Positive,Positive
nm0000013_rm3413159936_1922-4-3_1966.jpg,The man watching the other man kissing the woman,Positive,Positive
nm1897713_rm3939563520_1984-3-25_2014.jpg,The worried woman is searching for something,Negative,Negative
nm0001813_rm995745024_1925-12-13_1961.jpg,The woman is arguing with the other woman,Negative,Negative
nm0000113_rm4059139584_1964-7-26_2009.jpg,The woman is arguing with the man,Negative,Negative
nm0171513_rm113741056_1958-5-26_2007.jpg,The man and the woman are laughing at something,Positive,Positive
nm0000213_rm4192765184_1971-10-29_2011.jpg,The man and the woman are having fun,Positive,Positive
nm0223213_rm3839674624_1949-4-23_1977.jpg,Two women are laughing at something on the photo,Positive,Positive
nm0277213_rm2657991936_1971-3-27_2009.jpg,The man and the woman are looking angry at somebody,Negative,Negative
nm0000313_rm857121024_1949-12-4_2013.jpg,The man is angry at the other man,Negative,Negative
nm0141613_rm4212304128_1976-5-25_2012.jpg,The man is hugging the woman,Positive,Positive
nm0111013_rm3795495168_1979-12-15_2011.jpg,The man is annoyed by something,Negative,Negative
nm3762213_rm3486177280_1987-4-10_2010.jpg,The woman is trying to protect the other woman,Positive,Positive
nm0000113_rm1125879296_1964-7-26_2000.jpg,The man and the woman are laughing at something,Positive,Positive
nm0005313_rm1286576896_1980-4-1_2003.jpg,Two women are kissing the man,Positive,Positive
nm0000313_rm2406652672_1949-12-4_2000.jpg,The group of people is having fun,Positive,Positive
nm0277213_rm2481620224_1971-3-27_2009.jpg,The woman is flirting with the man,Positive,Positive
nm4237013_rm875084032_1985-0-0_2003.jpg,The man is kissing the woman,Positive,Positive
nm1442113_rm2924653568_1973-5-27_2006.jpg,The group of people are happy and amazed,Positive,Positive
nm0000013_rm3813644544_1922-4-3_1961.jpg,The man is flirting with the woman,Positive,Positive
nm0000313_rm2752286464_1949-12-4_2010.jpg,The man is hugging the woman,Positive,Positive
nm0226813_rm2937698816_1964-11-24_2010.jpg,The woman is arguing with the man,Negative,Negative
nm0000113_rm1251449600_1964-7-26_1997.jpg,The man is kissing the happy woman,Positive,Positive
nm0620513_rm1774843648_1907-9-4_1963.jpg,The man is trying to harm the other man,Negative,Negative
nm1567113_rm3221267200_1977-3-24_2003.jpg,The man and the woman are shocked by something,Negative,Negative
nm0001613_rm3996961792_1948-2-28_1979.jpg,The man is kissing the woman,Positive,Positive
nm2006913_rm1183768320_1992-9-14_2013.jpg,The man ad the boy having fun playing games,Positive,Positive
nm0598413_rm926862336_1964-8-11_1982.jpg,The man is flirting with the woman,Positive,Positive
nm0277213_rm3469801472_1971-3-27_2009.jpg,The man is kissing the woman,Positive,Positive
nm0000313_rm3794647808_1949-12-4_1995.jpg,The man is trying to shoot somebody,Negative,Negative
nm0000513_rm3807288064_1950-3-13_2001.jpg,The man is looking at something disgusting,Negative,Negative
nm1055413_rm2602283776_1977-4-2_2011.jpg,The man is running scared from somebody,Negative,Negative
nm0001213_rm1773189632_1954-6-6_1988.jpg,The group of people is interrupted by something,Negative,Negative
nm0006713_rm437497856_1968-1-12_2011.jpg,The man and the woman are shocked by something,Negative,Negative
nm0000113_rm2393611008_1964-7-26_1999.jpg,The woman is hugging the man,Positive,Positive
nm0000313_rm2473889280_1949-12-4_2009.jpg,THe woman is hugging the man,Positive,Positive
nm0781913_rm1454024960_1983-10-5_2012.jpg,The man is running from the other man,Neutral,Neutral
nm0000213_rm941788672_1971-10-29_1990.jpg,The man is flirting with the woman,Positive,Positive
nm0000113_rm1968871680_1964-7-26_1995.jpg,The man is flirting with the woman,Positive,Positive
nm4296013_rm158398720_1993-5-10_2014.jpg,The woman is crying,Negative,Negative
nm0648913_rm2700711936_1942-9-17_2002.jpg,The woman is hugging the other woman,Positive,Positive
nm0319213_rm885638656_1967-2-10_2014.jpg,The man is hugging the woman,Positive,Positive
nm0000213_rm1711902208_1971-10-29_1988.jpg,The man is flirting with the woman,Positive,Positive
nm0781913_rm1425971968_1983-10-5_2005.jpg,The man is arguing with the other man,Negative,Negative
nm1239813_rm433105408_1988-9-17_2012.jpg,The woman is worried by a phone call,Negative,Negative
nm1897713_rm25801728_1984-3-25_2012.jpg,The group of people are having fun,Positive,Positive
nm0000313_rm907452672_1949-12-4_2013.jpg,Two men are trying to shoot somebody,Negative,Negative
nm1567113_rm1891349760_1977-3-24_2012.jpg,The man is hugging the woman,Positive,Positive
nm0000513_rm709466624_1950-3-13_2006.jpg,The woman slaps the man,Neutral,Neutral
nm0000113_rm4061239296_1964-7-26_2006.jpg,The man is flirting with the woman,Positive,Positive
nm1567113_rm2563949568_1977-3-24_2014.jpg,The man is flirting with the woman,Positive,Positive
nm1567113_rm901494016_1977-3-24_2012.jpg,The woman is hugging the man,Positive,Positive
nm0000513_rm401783296_1950-3-13_2004.jpg,The man is trying to shoot somebody,Negative,Negative
nm1442113_rm3025316864_1973-5-27_2006.jpg,The man is shocked by the other man,Negative,Negative
nm0602813_rm3500915200_1963-0-0_2011.jpg,The group of people are angry at something,Negative,Negative
nm1747013_rm542226432_1979-3-18_2011.jpg,The man appreciates something he likes,Positive,Positive
nm0000313_rm1578798592_1949-12-4_1995.jpg,The man is looking angry at the other man,Negative,Negative
nm3762213_rm423738880_1987-4-10_2010.jpg,The woman is flirting with the man,Positive,Positive
nm0111013_rm2401284608_1979-12-15_2007.jpg,The woman is amazed by something,Positive,Positive
nm0934113_rm3962932736_1942-3-29_1986.jpg,Two men are arguing,Negative,Negative
nm0330913_rm902888960_1974-8-14_2010.jpg,The man is mocking the other man,Negative,Negative
nm0111013_rm2825817856_1979-12-15_2010.jpg,Two men are interrogating somebody,Positive,Neutral
nm0000313_rm3115159040_1949-12-4_2009.jpg,The man is flirting with the woman,Positive,Positive
nm1897713_rm4034370048_1984-3-25_2002.jpg,The woman is hugging the man,Positive,Positive
nm0000313_rm4147747328_1949-12-4_2000.jpg,The man is hugging two women,Positive,Positive
nm1055413_rm1551875328_1977-4-2_2011.jpg,The woman is scared of something,Negative,Negative
nm1897713_rm1960816896_1984-3-25_2012.jpg,The man is flirting with the woman,Positive,Positive
nm0141613_rm4193555456_1976-5-25_2008.jpg,The woman is arguing with the man,Negative,Negative
nm0005313_rm1089837312_1980-4-1_2007.jpg,The woman is screaming in pain,Negative,Negative
nm0000313_rm1595575808_1949-12-4_1995.jpg,The man is trying to shoot somebody,Negative,Negative
nm0000313_rm1861009664_1949-12-4_2014.jpg,The man is hugging the woman,Positive,Positive
nm0369513_rm1269797888_1975-3-22_2008.jpg,The man is screaming at the other man,Negative,Negative
nm0006713_rm2637023232_1968-1-12_2014.jpg,The man is angry at the woman,Negative,Negative
nm0000113_rm2768735232_1964-7-26_2005.jpg,The woman is shocked by the other woman,Negative,Negative
nm0934113_rm2526851840_1942-3-29_2010.jpg,The woman is arguing with the man,Negative,Negative
nm4341913_rm3812866304_1993-10-9_2002.jpg,The woman is hugging the man,Positive,Positive
nm1442113_rm4140862208_1973-5-27_2006.jpg,The man happy man is telling a joke,Positive,Positive
nm0330913_rm954193152_1974-8-14_2011.jpg,The man is flirting with the woman,Positive,Positive
nm0223213_rm1088211200_1949-4-23_1977.jpg,The man entertain the group of people,Positive,Positive
nm0111013_rm4038433024_1979-12-15_2003.jpg,The man is disappointed by something,Negative,Negative
nm2301213_rm3313479168_1985-8-20_2012.jpg,Two men are arguing,Negative,Negative
nm0369513_rm1102025728_1975-3-22_2008.jpg,The man is flirting with the woman,Positive,Positive
nm0001613_rm3525423360_1948-2-28_1974.jpg,The woman is hugging the man,Positive,Positive
nm0000313_rm4036152832_1949-12-4_1986.jpg,The man is screaming at the woman,Negative,Negative
nm0809613_rm3327962368_1951-7-10_2005.jpg,The man is angry at somebody,Negative,Negative
nm0001613_rm3032594176_1948-2-28_2012.jpg,The woman is calming down the other woman,Positive,Positive
nm0000113_rm2487398400_1964-7-26_2002.jpg,The man is flirting with the woman,Positive,Positive
nm1055413_rm1249885440_1977-4-2_2011.jpg,The man is flirting with the woman,Positive,Positive
nm0330913_rm3570063360_1974-8-14_2010.jpg,Two men are  having fun,Positive,Positive
nm0289213_rm3192227328_1969-7-24_2005.jpg,The group of people are laughing at something,Positive,Positive
nm1177213_rm2683148544_1979-6-22_2005.jpg,The group of people is scared of something,Negative,Negative
nm0000313_rm2884875008_1949-12-4_1984.jpg,The woman is kissing the man,Positive,Positive
nm3614913_rm1200011008_1994-11-10_2011.jpg,The woman is worried and scared of something,Negative,Negative
nm0000113_rm2785512448_1964-7-26_2005.jpg,The woman is arguing with the man,Negative,Negative
nm0223213_rm1776077056_1949-4-23_1977.jpg,The man is trying to harm the other man,Negative,Negative
nm0000313_rm588549120_1949-12-4_2008.jpg,The happy man is greeting somebody,Positive,Positive
nm1567113_rm2845225984_1977-3-24_2012.jpg,The woman is having fun,Positive,Positive
nm1567113_rm1887610624_1977-3-24_1963.jpg,The woman is amazed by something,Positive,Positive
nm1897713_rm957520384_1984-3-25_2002.jpg,The man is hugging the woman,Positive,Positive
nm0000013_rm3231561728_1922-4-3_1963.jpg,The women is looking after the other woman,Neutral,Neutral
nm3762213_rm2914697984_1987-4-10_2010.jpg,Two women are scared of something,Negative,Negative
nm0277213_rm2256637184_1971-3-27_2009.jpg,Three men are shocked by something on the screen,Negative,Negative
nm0277213_rm2715525376_1971-3-27_2009.jpg,The man is laughing at something,Positive,Positive
nm0223213_rm4183922688_1949-4-23_1977.jpg,The man is shocked by something,Negative,Negative
nm0877913_rm1051165952_1939-11-26_1975.jpg,The woman is scared of something,Negative,Negative
nm1473013_rm1805035264_1978-3-23_2012.jpg,The man is flirting with the woman,Positive,Positive
nm0640413_rm3023670784_1963-11-15_1995.jpg,The man is worried about something,Negative,Negative
nm0000313_rm3305934592_1949-12-4_2010.jpg,The man is happy to receive a reward,Positive,Positive
nm0000113_rm1071684352_1964-7-26_2006.jpg,The woman is laughing at something,Positive,Positive
nm0141613_rm1185061120_1976-5-25_2007.jpg,The man and the woman are laughing together,Positive,Positive
nm0498713_rm45136384_1976-2-14_2003.jpg,The group of people are interrupted by something,Negative,Negative
nm2218213_rm1940959232_1979-10-3_2012.jpg,The man is flirting with the woman,Positive,Positive
nm0005013_rm141072640_1971-3-22_2001.jpg,The man is arguing with the woman,Negative,Negative
nm0529813_rm2549127424_1978-9-18_2001.jpg,Two women are worried about something,Negative,Negative
nm0364813_rm1735166976_1961-8-24_2006.jpg,The group of people are worried about something,Negative,Negative
nm0095013_rm1029675008_1973-9-26_2003.jpg,The man is dancing with the happy woman,Positive,Positive
nm0226813_rm1877264384_1964-11-24_2010.jpg,The group of people are shocked by something,Negative,Negative
nm0000413_rm2803472384_1964-9-28_1997.jpg,The woman is flirting with the man,Positive,Positive
nm1567113_rm4190357248_1977-3-24_2014.jpg,The man is flirting with the woman,Positive,Positive
nm0277213_rm2578621952_1971-3-27_2009.jpg,The man is laughing at the woman,Positive,Positive
nm1055413_rm2712311040_1977-4-2_2008.jpg,The man is kissing the woman,Positive,Positive
nm1897713_rm1759490304_1984-3-25_2012.jpg,The woman is screaming in pain,Negative,Negative
nm0330913_rm2978077952_1974-8-14_2010.jpg,The man is angry at the other man,Negative,Negative
nm0000513_rm4284204288_1950-3-13_2014.jpg,Two women are kissing the man,Positive,Positive
nm0277213_rm2554897920_1971-3-27_2009.jpg,The man is angry at the other man,Negative,Negative
nm0223213_rm3218917632_1949-4-23_1977.jpg,The man is mocking the woman,Negative,Negative
nm0005013_rm2451934976_1971-3-22_2009.jpg,The man is joking with the woman,Positive,Positive
nm0000513_rm3782717696_1950-3-13_2011.jpg,The man is hugging the woman,Positive,Positive
nm0000002_rm1447271168_1924-9-16_2004.jpg,People are enjoying the company of each other,Positive,Positive
nm0000002_rm1646056960_1924-9-16_1991.jpg,The woman is astonished about what she saw,Positive,Positive
nm0000002_rm221957120_1924-9-16_1974.jpg,The woman is astonished about what she saw,Positive,Positive
nm0000002_rm2805435904_1924-9-16_1988.jpg,The man is shocked because of the woman fascinating look,Positive,Positive
nm0000002_rm2813958144_1924-9-16_2004.jpg,People are happy to be with each other,Positive,Positive
